position=16,26,36,46,56,66,70,76,89 N winning_move=73 frobenius=149 cumulative_states=5385893
position=16,26,36,46,56,66,76,79,86 N winning_move=75 frobenius=149 cumulative_states=5398683
position=16,26,36,44,46,56,66,97 N winning_move=34 frobenius=151 cumulative_states=5421225
position=16,26,36,46,54,56,66,76,91 N winning_move=13 frobenius=151 cumulative_states=5421226
position=16,26,36,46,56,60,66,81 N winning_move=109 frobenius=151 cumulative_states=5461168
position=16,26,36,46,56,66,70,76,91 N winning_move=119 frobenius=151 cumulative_states=5575883
position=16,26,36,46,56,66,76,81,86 N winning_move=79 frobenius=151 cumulative_states=5585007
position=16,26,36,44,46,56,66,99 N winning_move=77 frobenius=153 cumulative_states=5631428
position=16,26,36,46,54,56,66,76,93 N winning_move=13 frobenius=153 cumulative_states=5631429
position=16,26,36,46,56,60,66,83 N winning_move=69 frobenius=153 cumulative_states=5643275
position=16,26,36,46,56,66,70,76,93 N winning_move=121 frobenius=153 cumulative_states=5784570
position=16,26,36,46,56,66,76,83,86 P winning_move=none frobenius=153 cumulative_states=5837673
position=16,26,36,44,46,56,66,101 N winning_move=83 frobenius=155 cumulative_states=5904432
position=16,26,36,46,54,56,66,76,95 N winning_move=13 frobenius=155 cumulative_states=5904433
position=16,26,36,46,56,60,66,85 N winning_move=54 frobenius=155 cumulative_states=5931339
