base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=220574 eparts=447 evaluations=22641268
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=220574 eparts=447
EVALUATIONS count=1670000000 sid=220241 m=129 shapes=223095 eparts=447
EVALUATIONS count=1680000000 sid=219278 m=107 shapes=223105 eparts=447
EVALUATIONS count=1690000000 sid=220977 m=113 shapes=223113 eparts=447
EVALUATIONS count=1700000000 sid=219470 m=103 shapes=223113 eparts=447
EVALUATIONS count=1710000000 sid=67383 m=129 shapes=223113 eparts=447
EVALUATIONS count=1720000000 sid=220892 m=103 shapes=223113 eparts=447
EVALUATIONS count=1730000000 sid=41020 m=127 shapes=223113 eparts=447
EVALUATIONS count=1740000000 sid=12214 m=127 shapes=223113 eparts=447
EVALUATIONS count=1750000000 sid=24355 m=121 shapes=223118 eparts=447
EVALUATIONS count=1760000000 sid=219369 m=107 shapes=223127 eparts=447
EVALUATIONS count=1770000000 sid=219584 m=115 shapes=223127 eparts=447
EVALUATIONS count=1780000000 sid=220236 m=111 shapes=223127 eparts=447
EVALUATIONS count=1790000000 sid=24178 m=127 shapes=223127 eparts=447
EVALUATIONS count=1800000000 sid=220896 m=121 shapes=223127 eparts=447
EVALUATIONS count=1810000000 sid=219221 m=101 shapes=223127 eparts=447
EVALUATIONS count=1820000000 sid=222070 m=113 shapes=223127 eparts=447
EVALUATIONS count=1830000000 sid=196960 m=121 shapes=223127 eparts=447
EVALUATIONS count=1840000000 sid=195572 m=129 shapes=223127 eparts=447
EVALUATIONS count=1850000000 sid=220236 m=111 shapes=223127 eparts=447
EVALUATIONS count=1860000000 sid=24348 m=127 shapes=223127 eparts=447
EVALUATIONS count=1870000000 sid=11995 m=19 shapes=223127 eparts=447
EVALUATIONS count=1880000000 sid=24368 m=127 shapes=223127 eparts=447
EVALUATIONS count=1890000000 sid=220984 m=127 shapes=223127 eparts=447
EVALUATIONS count=1900000000 sid=219197 m=107 shapes=223127 eparts=447
EVALUATIONS count=1910000000 sid=220979 m=131 shapes=223127 eparts=447
EVALUATIONS count=1920000000 sid=162238 m=127 shapes=223127 eparts=447
EVALUATIONS count=1930000000 sid=91906 m=127 shapes=223127 eparts=447
EVALUATIONS count=1940000000 sid=219976 m=131 shapes=223127 eparts=447
EVALUATIONS count=1950000000 sid=220979 m=127 shapes=223127 eparts=447
EVALUATIONS count=1960000000 sid=219239 m=127 shapes=223127 eparts=447
EVALUATIONS count=1970000000 sid=219540 m=113 shapes=223127 eparts=447
EVALUATIONS count=1980000000 sid=220990 m=117 shapes=223127 eparts=447
EVALUATIONS count=1990000000 sid=24372 m=117 shapes=223127 eparts=447
EVALUATIONS count=2000000000 sid=222143 m=121 shapes=223127 eparts=447
EVALUATIONS count=2010000000 sid=67383 m=129 shapes=223127 eparts=447
EVALUATIONS count=2020000000 sid=220234 m=129 shapes=223127 eparts=447
EVALUATIONS count=2030000000 sid=220013 m=113 shapes=223127 eparts=447
EVALUATIONS count=2040000000 sid=204 m=127 shapes=223127 eparts=447
EVALUATIONS count=2050000000 sid=203 m=121 shapes=223127 eparts=447
EVALUATIONS count=2060000000 sid=220764 m=115 shapes=223127 eparts=447
EVALUATIONS count=2070000000 sid=219472 m=109 shapes=223127 eparts=447
EVALUATIONS count=2080000000 sid=220901 m=115 shapes=223127 eparts=447
EVALUATIONS count=2090000000 sid=220902 m=121 shapes=223127 eparts=447
EVALUATIONS count=2100000000 sid=160978 m=127 shapes=223127 eparts=447
EVALUATIONS count=2110000000 sid=220897 m=105 shapes=223127 eparts=447
EVALUATIONS count=2120000000 sid=145085 m=121 shapes=223127 eparts=447
EVALUATIONS count=2130000000 sid=220532 m=111 shapes=223127 eparts=447
EVALUATIONS count=2140000000 sid=189257 m=127 shapes=223127 eparts=447
EVALUATIONS count=2150000000 sid=162260 m=121 shapes=223127 eparts=447
EVALUATIONS count=2160000000 sid=43074 m=129 shapes=223127 eparts=447
EVALUATIONS count=2170000000 sid=91906 m=127 shapes=223137 eparts=447
EVALUATIONS count=2180000000 sid=220903 m=121 shapes=223145 eparts=447
EVALUATIONS count=2190000000 sid=220319 m=121 shapes=223145 eparts=447
EVALUATIONS count=2200000000 sid=219177 m=89 shapes=223145 eparts=447
EVALUATIONS count=2210000000 sid=220766 m=127 shapes=223145 eparts=447
EVALUATIONS count=2220000000 sid=67519 m=121 shapes=223145 eparts=447
EVALUATIONS count=2230000000 sid=176955 m=121 shapes=223145 eparts=447
EVALUATIONS count=2240000000 sid=220001 m=121 shapes=223145 eparts=447
EVALUATIONS count=2250000000 sid=160794 m=131 shapes=223145 eparts=447
EVALUATIONS count=2260000000 sid=219230 m=101 shapes=223145 eparts=447
EVALUATIONS count=2270000000 sid=220892 m=109 shapes=223145 eparts=447
EVALUATIONS count=2280000000 sid=220900 m=121 shapes=223145 eparts=447
EVALUATIONS count=2290000000 sid=219314 m=105 shapes=223149 eparts=447
EVALUATIONS count=2300000000 sid=90861 m=129 shapes=223149 eparts=447
EVALUATIONS count=2310000000 sid=91903 m=127 shapes=223150 eparts=447
EVALUATIONS count=2320000000 sid=197 m=121 shapes=223150 eparts=447
EVALUATIONS count=2330000000 sid=220496 m=119 shapes=223150 eparts=447
EVALUATIONS count=2340000000 sid=220980 m=127 shapes=223151 eparts=447
EVALUATIONS count=2350000000 sid=219398 m=103 shapes=223151 eparts=447
EVALUATIONS count=2360000000 sid=93693 m=131 shapes=223151 eparts=447
EVALUATIONS count=2370000000 sid=219118 m=5 shapes=223157 eparts=447
EVALUATIONS count=2380000000 sid=220892 m=103 shapes=223157 eparts=447
EVALUATIONS count=2390000000 sid=219177 m=89 shapes=223157 eparts=447
EVALUATIONS count=2400000000 sid=219205 m=91 shapes=223157 eparts=447
EVALUATIONS count=2410000000 sid=220903 m=121 shapes=223157 eparts=447
EVALUATIONS count=2420000000 sid=220307 m=125 shapes=223157 eparts=447
EVALUATIONS count=2430000000 sid=173497 m=127 shapes=223157 eparts=447
EVALUATIONS count=2440000000 sid=173534 m=127 shapes=223157 eparts=447
EVALUATIONS count=2450000000 sid=93283 m=129 shapes=223157 eparts=447
EVALUATIONS count=2460000000 sid=189690 m=121 shapes=223157 eparts=447
EVALUATIONS count=2470000000 sid=219314 m=105 shapes=223157 eparts=447
EVALUATIONS count=2480000000 sid=220980 m=127 shapes=223157 eparts=447
EVALUATIONS count=2490000000 sid=191140 m=127 shapes=223157 eparts=447
EVALUATIONS count=2500000000 sid=219177 m=89 shapes=223157 eparts=447
EVALUATIONS count=2510000000 sid=11995 m=51 shapes=223157 eparts=447
EVALUATIONS count=2520000000 sid=219398 m=103 shapes=223157 eparts=447
EVALUATIONS count=2530000000 sid=219380 m=107 shapes=223157 eparts=447
EVALUATIONS count=2540000000 sid=219203 m=105 shapes=223157 eparts=447
