base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=1406524 eparts=1051 evaluations=23224931838
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=1406524 eparts=1051
EVALUATIONS count=24260000000 sid=297270 m=309 shapes=1429368 eparts=1062
EVALUATIONS count=24270000000 sid=1427293 m=287 shapes=1429368 eparts=1062
EVALUATIONS count=24280000000 sid=674177 m=359 shapes=1429368 eparts=1062
SHAPES count=1430000 eparts=1062 scanned_to=407
EVALUATIONS count=24290000000 sid=1418712 m=193 shapes=1431355 eparts=1062
EVALUATIONS count=24300000000 sid=1418708 m=263 shapes=1431355 eparts=1062
EVALUATIONS count=24310000000 sid=2559 m=137 shapes=1435454 eparts=1064
EVALUATIONS count=24320000000 sid=637741 m=107 shapes=1435454 eparts=1064
EVALUATIONS count=24330000000 sid=681579 m=147 shapes=1435454 eparts=1064
EVALUATIONS count=24340000000 sid=655522 m=141 shapes=1435454 eparts=1064
EVALUATIONS count=24350000000 sid=1431452 m=193 shapes=1435454 eparts=1064
EVALUATIONS count=24360000000 sid=681623 m=295 shapes=1435454 eparts=1064
EVALUATIONS count=24370000000 sid=637818 m=289 shapes=1435454 eparts=1064
EVALUATIONS count=24380000000 sid=655522 m=285 shapes=1435454 eparts=1064
EVALUATIONS count=24390000000 sid=575204 m=193 shapes=1437526 eparts=1064
EVALUATIONS count=24400000000 sid=1431355 m=241 shapes=1437526 eparts=1064
EVALUATIONS count=24410000000 sid=652202 m=87 shapes=1439732 eparts=1065
EVALUATIONS count=24420000000 sid=657815 m=171 shapes=1439732 eparts=1065
EVALUATIONS count=24430000000 sid=1437526 m=107 shapes=1439732 eparts=1065
EVALUATIONS count=24440000000 sid=652293 m=163 shapes=1439732 eparts=1065
EVALUATIONS count=24450000000 sid=35427 m=305 shapes=1439732 eparts=1065
